character,radicals
剑,人 ;一 ;⺍ ;一 ;刂 
欺,甘 ;一 ;八 ;欠 
宇,宀 ;干 ;亅 
宙,宀 ;二 ;丨 ;凵 
扣,扌 ;口 
隐,阝 ;⺈ ;彐 ;心 
瞒,目 ;艹 ;一 ;从 ;冂 
溜,氵 ;卯 ;田 
毁,臼 ;工 ;殳 
灭,一 ;火 
荒,艹 ;匸 ;丶 ;儿 ;丨 
谬,讠 ;羽 ;人 ;彡 
拨,扌 ;㇗ ;丨 ;丶 ;又 
嘲,口 ;十 ;日 ;十 ;月 
娃,女 ;圭 
割,宀 ;一 ;二 ;丨 ;口 ;刂 
崩,山 ;朋 
溃,氵 ;口 ;丨 ;一 ;贝 
宗,宀 ;示 
陷,阝 ;⺈ ;臼 
异,巳 ;艹 
疾,疒 ;矢 
沮,氵 ;月 ;一 
丧,土 ;丷 ;乚 ;No glyph available 
誉,⺍ ;一 ;八 ;言 
央,大 ;冂 
忠,口 ;丨 ;心 
廊,广 ;丨 ;彐 ;乚 ;丶 ;丶 ;阝 
抗,扌 ;亠 ;几 
掩,扌 ;大 ;日 ;丨 ;乚 
枚,木 ;⺙ 
障,阝 ;立 ;日 ;十 
罐,缶 ;艹 ;吅 ;隹 
昏,氏 ;日 
晨,日 ;辰 
侮,亻 ;丿 ;一 ;母 
辱,辰 ;寸 
露,雨 ;⻊ ;夂 ;口 
绅,纟 ;日 ;丨 
残,歹 ;戋 
圣,又 ;土 
仓,人 ;乚 ;㇆ 
奏,一 ;二 ;丨 ;八 ;一 ;大 
堡,亻 ;口 ;木 ;土 
奴,女 ;又 
隶,隶 
膝,月 ;木 ;人 ;氺 
擎,艹 ;勹 ;口 ;⺙ ;手 
宰,宀 ;辛 
贼,贝 ;戈 ;𠂇 
舌,舌 
虐,虍 ;No glyph available 
舔,舌 ;一 ;大 ;丨 ;㇒ ;No glyph available 
薪,艹 ;立 ;十 ;小 ;斤 
讼,讠 ;八 ;厶 
援,扌 ;爫 ;干 ;又 
扎,扌 ;乚 
策,⺮ ;木 ;冂 
氓,匸 ;丶 ;巳 ;㇂ ;一 
皇,白 ;王 
吼,口 ;子 ;乚 
谋,讠 ;甘 ;木 
喉,口 ;亻 ;No glyph available ;矢 
咙,口 ;龙 
瞄,目 ;艹 ;田 
唐,广 ;⺺ ;口 
弥,弓 ;⺈ ;小 
党,⺌ ;冖 ;口 ;儿 
阱,阝 ;No glyph available ;二 
犬,犬 
妆,丬 ;女 
端,立 ;山 ;而 
卑,冂 ;二 ;丨 ;丶 ;十 
鄙,口 ;十 ;回 ;阝 
侵,亻 ;彐 ;冖 ;又 
崇,山 ;宀 ;示 
欲,谷 ;欠 
赌,贝 ;耂 ;日 
晃,日 ;⺌ ;一 ;儿 
佣,亻 ;用 
袖,衤 ;二 ;丨 ;凵 
丁,一 ;亅 
骚,马 ;又 ;丶 ;虫 
堪,土 ;甘 ;匚 ;儿 
肺,月 ;十 ;巾 
旋,方 ;丿 ;一 ;疋 
扁,户 ;冂 ;艹 
抚,扌 ;无 
酷,酉 ;⺧ ;口 
讯,讠 ;㇠ ;十 
予,龴 ;㇖ ;亅 
伪,亻 ;力 ;⺀ 
趴,⻊ ;八 
翘,No glyph available ;一 ;儿 ;羽 
诱,讠 ;禾 ;㇎ ;丿 
惑,戈 ;口 ;一 ;心 
箭,⺮ ;丷 ;一 ;月 ;刂 
胎,月 ;厶 ;口 
倾,亻 ;匕 ;页 
遭,辶 ;艹 ;No glyph available ;二 ;凵 ;日 
唇,辰 ;口 
缘,纟 ;彑 ;勹 ;No glyph available ;No glyph available 
胞,月 ;勹 ;巳 
蜡,虫 ;艹 ;一 ;日 
烛,火 ;虫 
仁,亻 ;二 
隧,阝 ;辶 ;丷 ;豕 
撤,扌 ;亠 ;厶 ;月 ;⺙ 
惨,忄 ;厶 ;大 ;彡 
额,宀 ;夂 ;口 ;页 
牵,大 ;冖 ;牛 
挽,扌 ;⺈ ;口 ;丨 ;乚 
酗,酉 ;凵 ;乂 
枕,木 ;巾 ;乚 
屏,尸 ;丷 ;一 ;廾 
吊,口 ;巾 
呵,口 ;一 ;亅 ;口 
井,No glyph available ;二 
慷,忄 ;广 ;隶 
慨,忄 ;丨 ;彐 ;乚 ;丶 ;旡 
潜,氵 ;㚘 ;日 
鸽,人 ;一 ;口 ;鸟 
泣,氵 ;立 
侄,亻 ;至 
渣,氵 ;木 ;日 ;一 
侣,亻 ;吕 
肿,月 ;口 ;丨 
瘤,疒 ;卯 ;田 
患,串 ;心 
滋,氵 ;丷 ;一 ;𢆶 
涉,氵 ;止 ;小 ;丿 
弊,巾 ;冫 ;No glyph available ;⺙ ;艹 
仇,亻 ;丿 ;㇈ 
浑,氵 ;冖 ;车 
泄,氵 ;㇗ ;廿 
皆,比 ;白 
抵,扌 ;氏 ;丶 
纵,纟 ;从 
粹,米 ;亠 ;从 ;十 
窝,穴 ;口 ;人 ;冂 
幢,巾 ;立 ;里 
祖,礻 ;月 ;一 
恒,忄 ;一 ;日 ;一 
拽,扌 ;曳 
焰,火 ;⺈ ;臼 
贿,贝 ;𠂇 ;月 
赂,贝 ;夂 ;口 
署,罒 ;耂 ;日 
舱,舟 ;人 ;乚 ;㇆ 
仗,亻 ;十 ;乂 
咋,口 ;丿 ;一 ;丨 ;二 
棕,木 ;宀 ;示 
坟,土 ;文 
墓,艹 ;日 ;大 ;土 
曲,No glyph available ;二 ;凵 
陈,阝 ;乚 ;一 ;小 
敞,⺌ ;冂 ;口 ;⺙ 
野,里 ;龴 ;㇖ ;亅 
蛮,亠 ;丨 ;亅 ;八 ;虫 
堕,阝 ;𠂇 ;月 ;土 
械,木 ;戈 ;艹 
拘,扌 ;勹 ;口 
刹,乂 ;十 ;小 ;刂 
巡,辶 ;巛 
噪,口 ;品 ;木 
裂,歹 ;刂 ;衣 
呕,口 ;匚 ;乂 
耻,耳 ;止 
洁,氵 ;士 ;口 
轨,车 ;丿 ;㇈ 
帐,巾 ;长 
篷,⺮ ;辶 ;夂 ;一 ;二 ;丨 
串,串 
氧,气 ;羊 
携,扌 ;隹 ;㇎ ;丿 
鉴,丨 ;丨 ;丿 ;一 ;丶 ;金 
撼,扌 ;厂 ;戈 ;一 ;口 ;心 
掐,扌 ;⺈ ;臼 
御,彳 ;干 ;㇒ ;止 ;卩 
妄,匸 ;丶 ;女 
谣,讠 ;爫 ;缶 
酬,酉 ;州 
铺,钅 ;十 ;用 ;丶 
辐,车 ;一 ;口 ;田 
鲁,鱼 ;日 
挪,扌 ;㇆ ;二 ;丨 ;阝 
挨,扌 ;厶 ;矢 
瞬,目 ;爫 ;冖 ;舛 
垫,扌 ;丿 ;㇈ ;丶 ;土 
岩,山 ;石 
嫌,女 ;丷 ;一 ;No glyph available ;八 ;⺕ 
闷,门 ;心 
哀,衣 ;口 
坑,土 ;亠 ;几 
呈,口 ;王 
墅,里 ;龴 ;㇖ ;亅 ;土 
贪,人 ;丶 ;㇇ ;贝 
婪,林 ;女 
镇,钅 ;十 ;目 ;一 ;八 
晰,日 ;木 ;斤 
捏,扌 ;日 ;土 
菌,艹 ;囗 ;禾 
杰,木 ;灬 
诞,讠 ;廴 ;㇒ ;止 
蹦,⻊ ;山 ;朋 
纤,纟 ;㇒ ;十 
盗,冫 ;欠 ;皿 
窃,穴 ;乚 ;一 ;刀 
跪,⻊ ;⺈ ;厂 ;乚 ;㇆ 
煎,丷 ;一 ;月 ;刂 ;灬 
捣,扌 ;㇆ ;㇉ ;丶 ;丶 ;山 
哄,口 ;艹 ;一 ;八 
驱,马 ;匚 ;乂 
扯,扌 ;止 
循,彳 ;⺁ ;十 ;目 
峡,山 ;人 ;二 ;丷 
谷,谷 
挖,扌 ;穴 ;㇠ 
掘,扌 ;尸 ;出 
拖,扌 ;丿 ;一 ;乚 ;㇆ ;丨 
夺,大 ;寸 
惕,忄 ;日 ;勹 ;No glyph available 
妥,爫 ;女 
钞,钅 ;小 ;丿 
绎,纟 ;又 ;二 ;丨 
赖,木 ;口 ;⺈ ;贝 
瘾,疒 ;阝 ;⺈ ;彐 ;心 
郎,丨 ;彐 ;乚 ;丶 ;丶 ;阝 
吩,口 ;八 ;刀 
咐,口 ;亻 ;寸 
偏,亻 ;户 ;冂 ;艹 
焦,隹 ;灬 
脉,月 ;㇆ ;㇇ ;No glyph available ;丶 
搏,扌 ;十 ;用 ;丶 ;寸 
掏,扌 ;勹 ;缶 
睹,目 ;耂 ;日 
督,⺊ ;一 ;小 ;又 ;目 
稚,禾 ;隹 
宪,宀 ;⺧ ;儿 
歧,止 ;支 
港,氵 ;艹 ;一 ;八 ;巳 
曝,日 ;日 ;艹 ;一 ;八 ;氺 
扑,扌 ;卜 
董,艹 ;㇒ ;十 ;里 
抑,扌 ;㇒ ;㇗ ;卩 
遥,辶 ;缶 ;爫 
径,彳 ;龴 ;工 
炫,火 ;玄 
耀,⺌ ;一 ;儿 ;羽 ;隹 
唠,口 ;艹 ;冖 ;力 
叨,口 ;刀 
剖,立 ;口 ;刂 
刑,一 ;廾 ;刂 
融,鬲 ;虫 
捞,扌 ;艹 ;冖 ;力 
猎,犭 ;艹 ;一 ;日 
跨,⻊ ;大 ;二 ;㇉ 
奉,一 ;二 ;丨 ;八 ;二 ;丨 
榜,木 ;亠 ;丷 ;冖 ;方 
谐,讠 ;比 ;白 
勉,⺈ ;口 ;丨 ;乚 ;力 
纠,纟 ;丨 ;㇙ 
粒,米 ;立 
番,釆 ;田 
液,氵 ;亠 ;亻 ;夂 ;丶 
饥,饣 ;几 
磕,石 ;土 ;厶 ;皿 
憋,巾 ;冫 ;No glyph available ;⺙ ;心 
恰,忄 ;人 ;一 ;口 
脂,月 ;匕 ;日 
肪,月 ;方 
磁,石 ;丷 ;一 ;𢆶 
塌,土 ;日 ;羽 
埋,土 ;里 
葬,艹 ;歹 ;匕 ;艹 
疤,疒 ;丨 ;No glyph available ;丨 ;乚 
横,木 ;艹 ;一 ;二 ;丨 ;凵 ;八 
岗,山 ;冂 ;乂 
芒,艹 ;匸 ;丶 
粉,米 ;八 ;刀 
揭,扌 ;曰 ;勹 ;人 ;㇗ 
膜,月 ;艹 ;日 ;大 
诈,讠 ;丿 ;一 ;丨 ;二 
崭,山 ;车 ;斤 
亦,亠 ;丨 ;亅 ;八 
昂,日 ;㇒ ;㇗ ;卩 
履,尸 ;彳 ;丿 ;一 ;日 ;夂 
蚂,虫 ;马 
蚁,虫 ;乂 ;丶 
缚,纟 ;十 ;用 ;丶 ;寸 
僵,亻 ;一 ;二 ;畕 
忧,忄 ;尢 ;丶 
郁,𠂇 ;月 ;阝 
凡,几 ;丶 
赴,走 ;卜 
黎,禾 ;勹 ;㇒ ;人 ;氺 
顽,二 ;儿 ;页 
贩,贝 ;⺁ ;又 
瘫,疒 ;又 ;隹 
痪,疒 ;⺈ ;大 ;冂 
喻,口 ;人 ;一 ;月 ;刂 
帝,亠 ;丷 ;冖 ;巾 
罕,⺳ ;干 
漆,氵 ;木 ;人 ;氺 
辨,辡 ;丿 ;丶 
溅,氵 ;贝 ;戋 
恩,囗 ;大 ;心 
跌,⻊ ;人 ;二 ;㇒ 
役,彳 ;殳 
殴,匚 ;乂 ;殳 
罢,罒 ;土 ;厶 
迈,辶 ;一 ;丿 ;㇆ 
兜,㇒ ;㇗ ;No glyph available ;白 ;儿 
烹,亠 ;口 ;㇇ ;亅 ;灬 
饪,饣 ;㇒ ;士 
疫,疒 ;殳 
澄,氵 ;癶 ;豆 
竭,立 ;曰 ;勹 ;人 ;㇗ 
拧,扌 ;宀 ;一 ;亅 
孔,子 ;乚 
撑,扌 ;⺌ ;冖 ;口 ;手 
淋,氵 ;林 
沼,氵 ;刀 ;口 
泽,氵 ;又 ;二 ;丨 
珠,王 ;木 ;一 ;㇒ 
腾,月 ;二 ;丨 ;丷 ;八 ;马 
钝,钅 ;十 ;屮 ;乚 
颇,皮 ;页 
覆,覀 ;彳 ;丿 ;一 ;日 ;夂 
剔,日 ;勹 ;No glyph available ;刂 
翔,羊 ;羽 
缉,纟 ;口 ;耳 
谴,讠 ;辶 ;口 ;丨 ;一 ;㠯 
丸,丿 ;㇈ ;丶 
雕,田 ;口 ;隹 
蔽,艹 ;巾 ;冫 ;No glyph available ;⺙ 
泥,氵 ;尸 ;匕 
琢,王 ;一 ;勹 ;No glyph available ;丶 ;No glyph available 
颠,十 ;目 ;一 ;八 ;页 
宫,宀 ;吕 
殿,尸 ;艹 ;一 ;八 ;殳 
俘,亻 ;爫 ;子 
虏,虍 ;力 
喇,口 ;木 ;口 ;刂 
叭,口 ;八 
莫,艹 ;日 ;大 
旗,方 ;丿 ;一 ;甘 ;一 ;八 
帜,巾 ;口 ;八 
颤,亠 ;回 ;日 ;一 ;页 
砖,石 ;二 ;丨 ;龴 
苍,艹 ;人 ;乚 ;㇆ 
斥,斤 ;丶 
碌,石 ;彐 ;氺 
铜,钅 ;冂 ;一 ;口 
棉,木 ;白 ;巾 
啃,口 ;止 ;月 
墨,黑 ;土 
惫,夂 ;田 ;心 
伏,亻 ;犬 
涕,氵 ;丷 ;弓 ;丨 ;㇒ 
灿,火 ;山 
瞪,目 ;癶 ;豆 
衅,血 ;二 ;丨 ;丷 
疏,⺪ ;亠 ;厶 ;儿 ;丨 
摊,扌 ;又 ;隹 
辉,⺌ ;一 ;儿 ;冖 ;车 
煌,火 ;白 ;王 
蔓,艹 ;日 ;罒 ;又 
翼,羽 ;田 ;艹 ;一 ;八 
锐,钅 ;丷 ;口 ;儿 
扒,扌 ;八 
墟,土 ;虍 ;No glyph available ;丷 ;一 
轰,车 ;双 
眨,目 ;㇒ ;王 ;丶 ;戈 ;㇝ 
唤,口 ;⺈ ;大 ;冂 
弦,弓 ;玄 
蒸,艹 ;㇖ ;水 ;一 ;灬 
竖,丨 ;丨 ;又 ;立 
盲,匸 ;丶 ;目 
畏,田 ;一 ;乚 ;No glyph available 
壮,丬 ;士 
宅,宀 ;㇒ ;乚 ;一 
捧,扌 ;一 ;二 ;丨 ;八 ;二 ;丨 
削,⺌ ;月 ;刂 
贯,囗 ;十 ;贝 
杖,木 ;十 ;乂 
庞,广 ;龙 
储,亻 ;讠 ;耂 ;日 
纽,纟 ;刀 ;二 
扛,扌 ;工 
徘,彳 ;非 
徊,彳 ;回 
坡,土 ;皮 
袱,衤 ;亻 ;犬 
侧,亻 ;贝 ;刂 
臂,尸 ;口 ;辛 ;月 
泡,氵 ;勹 ;巳 
沫,氵 ;木 ;一 
捍,扌 ;日 ;干 
劈,尸 ;口 ;辛 ;刀 
苏,艹 ;力 ;八 
渠,氵 ;匚 ;No glyph available ;木 
奔,大 ;十 ;艹 
驰,马 ;乚 ;㇆ ;丨 
瀑,氵 ;日 ;艹 ;一 ;八 ;水 
捉,扌 ;足 
痹,疒 ;田 ;一 ;No glyph available 
锋,钅 ;夂 ;一 ;二 ;丨 
拙,扌 ;出 
岂,山 ;己 
隆,阝 ;夂 ;一 ;生 
枝,木 ;支 
诽,讠 ;非 
谤,讠 ;亠 ;丷 ;冖 ;方 
洪,氵 ;艹 ;一 ;八 
扭,扌 ;刀 ;二 
拣,扌 ;乚 ;一 ;㇆ ;八 
愈,人 ;一 ;月 ;刂 ;心 
悦,忄 ;丷 ;口 ;儿 
迄,辶 ;丿 ;一 ;㇠ 
耗,耒 ;毛 
倦,亻 ;二 ;丨 ;丷 ;八 ;乚 ;㇆ 
歹,歹 
徒,彳 ;走 
斑,玨 ;文 
贫,八 ;刀 ;贝 
驳,马 ;爻 
锤,钅 ;㇒ ;十 ;士 ;艹 
诸,讠 ;耂 ;日 
粥,弜 ;米 
窜,穴 ;串 
绘,纟 ;人 ;二 ;厶 
鞠,革 ;勹 ;米 
躬,身 ;弓 
洽,氵 ;人 ;一 ;口 
搂,扌 ;米 ;女 
熄,火 ;自 ;心 
揉,扌 ;矛 ;木 
缝,纟 ;辶 ;夂 ;一 ;二 ;丨 
淹,氵 ;大 ;日 ;丨 ;乚 
屑,尸 ;⺌ ;月 
伺,亻 ;㇆ ;一 ;口 
捎,扌 ;⺌ ;月 
呻,口 ;日 ;丨 
吟,口 ;人 ;丶 ;㇇ 
掠,扌 ;亠 ;口 ;小 
殖,歹 ;十 ;目 ;一 
奢,大 ;耂 ;日 
侈,亻 ;多 
喘,口 ;山 ;而 
刊,干 ;刂 
溪,氵 ;爫 ;幺 ;大 
伐,亻 ;戈 
挫,扌 ;土 ;从 
饶,饣 ;No glyph available ;一 ;儿 
恕,女 ;口 ;心 
壳,士 ;冖 ;几 
藐,艹 ;豸 ;白 ;儿 
坠,阝 ;人 ;土 
乞,丿 ;一 ;㇠ 
丐,一 ;卜 ;㇉ 
衷,衣 ;口 ;丨 
沸,氵 ;弓 ;No glyph available 
颁,八 ;刀 ;页 
渗,氵 ;厶 ;大 ;彡 
侥,亻 ;No glyph available ;一 ;儿 
钦,钅 ;欠 
塞,宀 ;No glyph available ;二 ;一 ;八 ;土 
沐,氵 ;木 
浴,氵 ;谷 
馈,饣 ;口 ;丨 ;一 ;贝 
辖,车 ;宀 ;一 ;二 ;丨 ;口 
皱,⺈ ;彐 ;皮 
纹,纟 ;文 
臣,臣 
笼,⺮ ;龙 
罩,罒 ;⺊ ;日 ;十 
遣,辶 ;口 ;丨 ;一 ;㠯 
僻,亻 ;尸 ;口 ;辛 
筒,⺮ ;冂 ;一 ;口 
攒,扌 ;兟 ;贝 
撇,扌 ;巾 ;冫 ;No glyph available ;⺙ 
掰,龵 ;八 ;刀 ;手 
鸣,口 ;鸟 
债,亻 ;龶 ;贝 
券,二 ;丨 ;丷 ;八 ;刀 
兆,儿 ;冫 ;No glyph available 
拔,扌 ;𠂇 ;丶 ;又 
筹,⺮ ;一 ;二 ;丨 ;寸 
浮,氵 ;爫 ;子 
巷,艹 ;一 ;八 ;巳 
烁,火 ;㇒ ;㇗ ;小 
捷,扌 ;十 ;⺺ ;龰 
肢,月 ;支 
嗅,口 ;自 ;犬 
盛,一 ;丿 ;㇆ ;戈 ;皿 
滤,氵 ;虍 ;心 
渺,氵 ;目 ;小 ;丿 
蚀,饣 ;虫 
泌,氵 ;心 ;丿 
峰,山 ;夂 ;一 ;二 ;丨 
瘸,疒 ;力 ;口 ;肉 
淆,氵 ;乂 ;𠂇 ;月 
冤,冖 ;⺈ ;口 ;丨 ;乚 ;丶 
枉,木 ;王 
逼,辶 ;一 ;口 ;田 
裕,衤 ;谷 
枯,木 ;十 ;口 
惦,忄 ;广 ;⺊ ;口 
蔼,艹 ;讠 ;曰 ;勹 ;人 ;㇗ 
衰,衣 ;囗 ;一 
掀,扌 ;斤 ;欠 
嚷,口 ;衣 ;吅 ;No glyph available ;二 ;一 
贬,贝 ;㇒ ;王 ;丶 ;戈 ;㇝ 
猛,犭 ;子 ;皿 
柱,木 ;王 ;丶 
辫,辡 ;纟 
膛,月 ;⺌ ;冖 ;口 ;土 
渡,氵 ;广 ;廿 ;又 
熨,尸 ;示 ;寸 ;火 
濒,氵 ;止 ;小 ;丿 ;页 
凑,冫 ;一 ;二 ;丨 ;八 ;㇒ ;大 
畅,日 ;丨 ;㇎ ;No glyph available 
肆,镸 ;聿 
肖,⺌ ;月 
蓄,艹 ;玄 ;田 
橙,木 ;癶 ;豆 
惰,忄 ;𠂇 ;工 ;月 
庸,广 ;⺺ ;用 
蹋,⻊ ;日 ;羽 
锈,钅 ;禾 ;㇎ ;丿 
陶,阝 ;勹 ;缶 
赠,贝 ;丷 ;口 ;丨 ;丷 ;日 
滨,氵 ;宀 ;兵 
庄,广 ;土 
稼,禾 ;宀 ;豕 
叼,口 ;㇆ ;㇀ 
廓,广 ;亠 ;口 ;子 ;阝 
碳,石 ;山 ;𠂇 ;火 
烘,火 ;艹 ;一 ;八 
晋,一 ;No glyph available ;丷 ;一 ;日 
钩,钅 ;勹 ;厶 
驻,马 ;王 ;丶 
峻,山 ;厶 ;八 ;夂 
蹬,⻊ ;癶 ;豆 
吁,口 ;干 ;亅 
君,⺕ ;丨 ;口 
卓,⺊ ;日 ;十 
悟,忄 ;一 ;力 ;一 ;口 
筛,⺮ ;No glyph available ;一 ;巾 
潇,氵 ;艹 ;⺺ ;No glyph available ;小 
搁,扌 ;门 ;夂 ;口 
逢,辶 ;夂 ;一 ;二 ;丨 
坛,土 ;二 ;厶 
丙,一 ;人 ;冂 
郑,丷 ;一 ;大 ;阝 
谜,讠 ;辶 ;米 
蔑,艹 ;罒 ;厂 ;戈 ;丶 
钙,钅 ;一 ;卜 ;㇉ 
梁,氵 ;刀 ;八 ;木 
搅,扌 ;⺍ ;冖 ;见 
拌,扌 ;二 ;丨 ;丷 
踏,⻊ ;水 ;日 
甭,一 ;丿 ;卜 ;用 
觅,爫 ;见 
瓣,辡 ;瓜 
簸,⺮ ;甘 ;一 ;八 ;皮 
阔,门 ;氵 ;舌 
铭,钅 ;夕 ;口 
壤,土 ;衣 ;吅 ;No glyph available ;二 ;一 
睬,目 ;爫 ;木 
凝,冫 ;匕 ;矢 ;龴 ;疋 
霍,雨 ;隹 
哨,口 ;⺌ ;月 
殃,歹 ;大 ;冂 
牢,宀 ;牛 
仙,亻 ;山 
瓦,瓦 
晾,日 ;亠 ;口 ;小 
宵,宀 ;⺌ ;月 
柬,木 ;口 ;丨 ;丷 
晶,晶 
波,氵 ;皮 
尖,小 ;大 
垂,㇒ ;十 ;士 ;艹 
瓷,冫 ;欠 ;瓦 
挚,扌 ;丿 ;㇈ ;丶 ;手 
怯,忄 ;土 ;厶 
巢,巛 ;田 ;木 
穴,穴 
朽,木 ;一 ;㇉ 
搓,扌 ;羊 ;工 
悬,月 ;一 ;厶 ;心 
寺,土 ;寸 
庙,广 ;二 ;丨 ;凵 
挠,扌 ;No glyph available ;一 ;儿 
诫,讠 ;戈 ;艹 
涵,氵 ;㇇ ;亅 ;冫 ;No glyph available ;凵 
畜,玄 ;田 
涮,氵 ;尸 ;巾 ;刂 
酝,酉 ;二 ;厶 
酿,酉 ;艮 ;丶 
舆,臼 ;车 ;一 ;八 
株,木 ;木 ;一 ;㇒ 
剥,彐 ;氺 ;刂 
诬,讠 ;工 ;从 
桨,丬 ;夕 ;木 
愣,忄 ;罒 ;方 
咀,口 ;月 ;一 
嚼,口 ;爫 ;罒 ;丨 ;彐 ;乚 ;丶 ;寸 
敷,十 ;用 ;丶 ;方 ;⺙ 
衍,行 ;氵 
捆,扌 ;囗 ;木 
截,土 ;戈 ;隹 
赁,亻 ;㇒ ;士 ;贝 
旨,匕 ;日 
睦,目 ;土 ;八 ;土 
窍,穴 ;工 ;一 ;㇉ 
腔,月 ;穴 ;工 
缠,纟 ;广 ;里 
溶,氵 ;宀 ;谷 
秃,禾 ;几 
盈,㇎ ;丿 ;又 ;皿 
叹,口 ;又 
暧,日 ;爫 ;冖 ;𠂇 ;又 
昧,日 ;木 ;一 
惋,忄 ;宀 ;夕 ;乚 ;㇆ 
雅,牙 ;隹 
庇,广 ;比 
狭,犭 ;人 ;二 ;丷 
昔,艹 ;一 ;日 
甘,甘 
吝,文 ;口 
啬,土 ;丷 ;回 
宏,宀 ;𠂇 ;厶 
帆,巾 ;几 ;丶 
茫,艹 ;氵 ;匸 ;丶 
绣,纟 ;禾 ;㇎ ;丿 
田,田 
摧,扌 ;山 ;隹 
攀,林 ;爻 ;大 ;手 
岳,斤 ;一 ;山 
躁,⻊ ;品 ;木 
逊,辶 ;子 ;小 
嫂,女 ;臼 ;丨 ;又 
炎,炎 
谱,讠 ;丷 ;一 ;No glyph available ;丷 ;一 ;日 
迁,辶 ;㇒ ;十 
徙,彳 ;止 ;龰 
滔,氵 ;爫 ;臼 
巩,工 ;几 ;丶 
阐,门 ;丷 ;冂 ;二 ;丨 ;十 
帖,巾 ;⺊ ;口 
滥,氵 ;丨 ;丨 ;丿 ;一 ;丶 ;皿 
滞,氵 ;川 ;一 ;冖 ;巾 
彰,立 ;日 ;十 ;彡 
若,艹 ;𠂇 ;口 
奥,宀 ;米 ;大 
诵,讠 ;龴 ;用 
汹,氵 ;凵 ;乂 
涌,氵 ;龴 ;用 
毅,立 ;勹 ;No glyph available ;No glyph available ;殳 
添,氵 ;一 ;大 ;丨 ;㇒ ;No glyph available 
阂,门 ;亠 ;丨 ;㇙ ;人 
譬,尸 ;口 ;辛 ;言 
腹,月 ;丿 ;一 ;日 ;夂 
泻,氵 ;冖 ;No glyph available ;一 
雌,止 ;匕 ;隹 
叠,叒 ;冖 ;月 ;一 
铸,钅 ;一 ;二 ;丨 ;寸 
萎,艹 ;禾 ;女 
掷,扌 ;丷 ;一 ;大 ;阝 
霜,雨 ;木 ;目 
畴,田 ;一 ;二 ;丨 ;寸 
伯,亻 ;白 
饲,饣 ;㇆ ;一 ;口 
舟,舟 
腥,月 ;日 ;生 
陋,阝 ;㇗ ;一 ;人 ;冂 
碑,石 ;冂 ;二 ;丨 ;丶 ;十 
筐,⺮ ;匚 ;王 
狼,犭 ;艮 ;丶 
狈,犭 ;贝 
澈,氵 ;亠 ;厶 ;月 ;⺙ 
旱,日 ;干 
嘈,口 ;艹 ;No glyph available ;二 ;凵 ;日 
凄,冫 ;十 ;⺺ ;女 
爽,大 ;㸚 
逝,辶 ;扌 ;斤 
迸,辶 ;丷 ;一 ;廾 
秤,禾 ;干 ;丷 
抹,扌 ;木 ;一 
榨,木 ;穴 ;丿 ;一 ;丨 ;二 
隘,阝 ;丷 ;一 ;八 ;皿 
垄,龙 ;土 
氏,氏 
惹,艹 ;𠂇 ;口 ;心 
祸,礻 ;口 ;人 ;冂 
岔,八 ;刀 ;山 
媳,女 ;自 ;心 
勾,勹 ;厶 
荡,艹 ;氵 ;㇎ ;No glyph available 
沛,氵 ;十 ;巾 
晤,日 ;一 ;力 ;一 ;口 
眯,目 ;米 
斯,甘 ;一 ;八 ;斤 
韧,韦 ;刀 ;丶 
唾,口 ;㇒ ;十 ;士 ;艹 
隙,阝 ;小 ;日 ;小 
狠,犭 ;艮 
拓,扌 ;石 
筋,⺮ ;月 ;力 
膨,月 ;十 ;豆 ;彡 
胀,月 ;长 
湾,氵 ;亠 ;丨 ;亅 ;八 ;弓 
霸,雨 ;革 ;月 
涩,氵 ;刀 ;丶 ;止 
耸,从 ;耳 
缀,纟 ;叕 
颂,八 ;厶 ;页 
嘱,口 ;尸 ;㇒ ;虫 ;冂 
苟,艹 ;勹 ;口 
浸,氵 ;彐 ;冖 ;又 
栏,木 ;丷 ;一 ;二 
紊,文 ;糸 
颖,匕 ;禾 ;页 
泊,氵 ;白 
倔,亻 ;尸 ;出 
俯,亻 ;广 ;亻 ;寸 
拢,扌 ;龙 
杠,木 ;工 
杆,木 ;干 
朴,木 ;卜 
辟,尸 ;口 ;辛 
晓,日 ;No glyph available ;一 ;儿 
丛,从 ;一 
忌,己 ;心 
惮,忄 ;丷 ;冂 ;二 ;丨 ;十 
吞,一 ;大 ;口 
咽,口 ;囗 ;大 
框,木 ;匚 ;王 
雹,雨 ;勹 ;巳 
赤,赤 
疙,疒 ;丿 ;一 ;㇠ 
瘩,疒 ;艹 ;人 ;一 ;口 
倘,亻 ;⺌ ;冂 ;口 
卸,干 ;㇒ ;止 ;卩 
灌,氵 ;艹 ;吅 ;隹 
溉,氵 ;丨 ;彐 ;乚 ;丶 ;旡 
腻,月 ;弋 ;二 ;贝 
锦,钅 ;白 ;巾 
悼,忄 ;⺊ ;日 ;十 
萌,艹 ;日 ;月 
芽,艹 ;牙 
涛,氵 ;一 ;二 ;丨 ;寸 
暄,日 ;宀 ;一 ;日 ;一 
伶,亻 ;人 ;丶 ;龴 
俐,亻 ;禾 ;刂 
镶,钅 ;衣 ;吅 ;No glyph available ;二 ;一 
嵌,山 ;甘 ;欠 
拄,扌 ;王 ;丶 
