simp	trad	hsk	pinyin	pinyin_tonemarks	pinyin_blocks	pinyin_tones	eng
结束	結束	3	jie2shu4	jiéshù	jie,shu	2,4	to end; to finish; conclude
清楚	清楚	3	qing1chu5	qīngchu	qing,chu	1,5	clear; distinct; be clear about
愿意	願意	3	yuan4yi4	yuànyì	yuan,yi	4,4	be willing; want to; be ready
花	花	3	hua1	huā	hua	1	flower; blossom; spend money; cost
照片	照片	3	zhao4pian4	zhàopiàn	zhao,pian	4,4	picture; photograph
欢迎	歡迎	3	huan1ying2	huānyíng	huan,ying	1,2	to welcome; greet
总是	總是	3	zong3shi4	zǒngshì	zong,shi	3,4	always; eventually
嘴	嘴	3	zui3	zuǐ	zui	3	mouth
参加	參加	3	can1jia1	cānjiā	can,jia	1,1	participate; join; take part in
办法	辦法	3	ban4fa3	bànfǎ	ban,fa	4,3	method; way (of doing something)
选择	選擇	3	xuan3ze2	xuǎnzé	xuan,ze	3,2	select; to pick; choose
坏	壞	3	huai4	huài	huai	4	bad; broken
打算	打算	3	da3suan4	dǎsuàn	da,suan	3,4	to plan; intend
