char_id,char,pinyin,eng,formula,words
410a,?,,bird's wing,,
410,飞,fei1,to fly,,
411,气,qi4,air,124b+1+410a,
412,汽,qi4,steam,78a+411,
413a,乙,yi3,second,,
413,亿,yi4,hundred million,13a+413a,
414,艺,yi4,art,218a+413a,
415a,乞,qi3,beg,124b+413a,
415,吃,chi1,eat,5+415a,
416,全,quan2,whole,19b+60a,
417,色,se4,color,51a+368a,
418,角,jiao3,dime,51a+130,
419,确,que4,certain,115a+418,
420a,觜,,heron,314a+418,
420,嘴,zui3,mouth,5+420a,
421,最,zui4,utmost,6+88,
422a,炎,yan2,inflammation,181+181,
422,谈,tan2,talk over,67c+422a,
423a,与,yu3;yu4,with,,
423,写,xie3,write,82a+423a,
424a,丂,,choke,,
424,号,hao4,date,5+424a,
425a,廿,nian4,twenty,,
425,度,du4,degrees,170+425a+52,
426,态,tai4,attitude,48+161,
427a,巾,jin1,towel,,
427,市,shi4,market,25b+427a,
428a,帀,,encompass,1+427a,
428,师,shi1,master,74a+428a,
429a,卅,,thirty,,
429b,?,,sash,82a+427a,
429,带,dai4,belt,429a+82a+427a,
430,示,shi4,sign,2+50,
431,票,piao4,ticket,100+430,
432,漂,piao4,pretty,78a+431,
433a,礻,,sign,,
433,社,she4,society,433a+54a,
434,祝,zhu4,best wishes,433a+67a,
435,视,shi4,to watch,433a+214,
436a,𧘇,,a dress,,
436,表,biao3,indicator,133a+436a,
437,衣,yi1,clothes,25b+436a,
438,农,nong2,farm,82a+436a,
439a,衤,,clothes,,
439,初,chu1,beginning,439a+72,
440a,皮,pi2,skin,,
440,被,bei4,by,439a+440a,
441,破,po4,damage,115a+440a,
442,坏,huai4,bad,54a+9,
443,且,qie3,bookcase,,
444,姐,jie3,older sister,15+443,
445,助,zhu4,to help,443+14,
446,租,zu1,rent,126a+443,
447,祖,zu3,ancestor,433a+443,
448,组,zu3,organize,233a+443,
449,宜,yi2,appropriate,91a+443,
450,谊,yi4,friendship,67c+449,
451a,?,,treasure,,
451,直,zhi2,straight,4+451a,
452,真,zhen1,truly,451+20,
453,毛,mao2,wool,,
454,笔,bi3,pen,321a+453,
455a,?,,pile of earth,,
455,民,min2,the people,268a+455a,
456a,弋,,stake,455a+22a,
456,代,dai4,substitute,13a+456a,
457a,舌,she2,tongue,89+5,
457,刮,gua1,to blow,457a+74a,
458,话,hua4,speech,67c+457a,
459,适,shi4,suitable,26a+457a,
460,活,huo2,alive,78a+457a,
461,术,shu4,craft,10a+22a,
462,支,zhi1,branch,4+52,
463,技,ji4,skill,152a+462,
464a,寺,,temple,54a+104a,
464,等,deng3,wait for,321a+464a,
465,持,chi2,maintain,142a+464a,
466,特,te4,special,384+464a,
467,义,ji4,just,22a+25a,
468,风,feng1,wind,7+25a,
469a,娄,,trouble,334+15,
469,数,shu4;shu3,number;to count,469a+190a,
470,楼,lou2,story,10a+469a,
471,层,ceng2,tier,268a+56,
472,室,shi4,A room,91a+74b,
473,屋,wu1,accommodation,268a+74b,
474,握,wo4,grasp,152a+473,
475,提,ti2,carry,152a+30,
476,让,rang4,allow,67c+42,
477a,贝,bei4,sea shell,160a+12,
477,页,ye4,page,40a+477a,
478,题,ti2,topic,30+477,
479,员,yuan2,member,5+477a,
480,圆,yuan2,circle,24a+479,
481,高,gao1,high,239a+389a,
482,搞,gao3,engaged in,152a+481,
483a,台,tai2,platform,34a+5,
483,治,zhi4,treat(disease),78a+483a,
484,抬,tai1,raise,152a+483a,
485,始,shi3,start,15+483a,
486a,谷,gu3,valley,20+19b,
486,容,rong2,tolerate,91a+486a,
487a,士,shi4,scholar,,
487,志,zhi4,intention,487a+161,
488,声,sheng1,voice,487a+268a,
489a,妆,zhuang4,sturdy,317a+487a,
489,装,zhuang1,pretend,489a+437,
490a,?,shi3,arrow,124b+47,
490,知,zhi1,know,490a+5, 
491a,?,,container,,
491,医,yi1,heal,491a+490a,
492,贵,gui4,expensive,492a+477a,
493,您,nin2,you polite,51+161,
494,束,shu4,bundle,,
495a,?,,suck,494+190a,
495,整,zheng3,entire,495a+29,
496a,?,,imperial decree,494+361a,
496,嗽,sou4,cough,5+496a,
497a,?,hai4,pig,,
497,该,gai1,ought,67c+497a,
498,孩,hai2,youngser,17+497a,
499,咳,ke2,cough,5+497a,
500,刻,ke4,quarter (hour),497a+74a,
501a,?,,pigeon,,
501,谁,shui2,who,67c+501a,
502,推,tui1,push,152a+501a,
503,难,nan2,difficult,52+501a,
504,准,zhun3,accurate,360a+501a,
505,集,ji2,assemble,501a+10a,
506a,?,,pursue,,
506,处,chu4,place,506a+42a,
507,各,ge4,each,506a+5,
508,路,lu4,path,280+507,
509,客,ke4,guest,91a+507,
510a,丙,bing3,third,1+219,
510b,?,,illness,,
510,病,bing4,disease,510b+510a,
511,杂,za2,mixed,38+10a,
512,怎,zen3,how,207a+161,
513a,庄,zhuang1,premises,170+54a,
513,脏,zang1,dirty,61+513a,
514,总,zong3,always,65a+5,
515,责,ze2,duty,133a+477a,
516,绩,ji4,achievement,233a+515,
517,负,fu4,to shoulder,51a+477a,
518,才,cai2,only just,,
519,团,tuan2,group,24a+518,
520,因,yin1,because,24a+47,
521a,恩,en1,a favor,520+161,
521,嗯,ng,eh,5+521a,
522,困,kun4,difficulty,24a+10a,
523,水,shui3,water,,
524,求,qiu2,request,,
525,球,qiu2,ball,60a+524,
526a,勿,wu4,dont!,,
526,忽,hu1,sudden,526a+161,
527,物,wu4,thing,384+526a,
528,易,yi4,easy,6+526a,
529,踢,ti1,kick,280+528,
530a,?,,sunny,,
530,场,chang3,site,54a+530a,
531,汤,tang1,soup,78a+530a,
532,杨,yang2,make known,152a+530a,
533a,乃,nai3,sigh,,
533,奶,nai3,milk,15+533a,
534a,及,ji2,reach,,
534,极,ji2,extremity,10a+534a,
535,级,ji2,grade,233a+534a,
536a,?,,spring,22+50,
536,原,yuan2,original,144+536a,
537,愿,yuan4,to desire,536+161,
538a,吉,ji2,auspicious,487a+5,
538,结,jie2,tie up,233a+538a,
539,喜,xi3,celebration,538a+90a+5,
540a,?,,foul mouth,54a+5,
540,周,zhou1,week,160a+540a,
541,调,diao4,tune,67c+540,
542a,尙,shang4,esteem,50+389a,
542,躺,tang3,lie down,107+542a,
543,堂,tang2,hall,542a+54a,
544,常,chang2,often,542a+427a,
545,掌,zhang3,palm,542a+31,
546,条,tiao2,slip of paper,506a+10a,
547,务,wu4,to work at,506a+14,
548,备,bei4,prepare,506a+156a,
549,鱼,yu2,fish,51a+156a+1,
550,复,fu4,repeat,124b+6+506a,
551a,壬,ren2,ninth,89a+487a,
551,任,ren4,whatever,13a+551a,
552,计,ji4,calculate,67c+4,
553,设,she4,establish,67c+169a,
554,划,hua4,to plan,32a+74a,
555,或,huo4,or,5+1+32a,
556a,咸,xian2,salty,259a+150b,
556,感,gan3,feel,556a+161,
557,喊,han3,shout,5+556a,
558,布,bu4,cloth,53a+427a,
559,希,xi1,to wish,25a+558,
560a,?,,seal,,
560,节,jie2,festival,218a+560a,
561a,却,que4,despite,86+560a,
561,脚,jiao3,foot,61+561a,
562a,?,,ruler,560a+52,
562,抱,bao4,to report,152a+562a,
563,服,fu2,obey,61+562a,
564a,甬,,explosion,560a+130,
564,通,tong1,pass through,26a+564a,
565,痛,tong4,to ache,510b+564a,
566a,?,,hardship,,
566b,?,,uphill,149+566a,
566,危,wei1,danger,51a+566b,
567,顾,gu4,attend to,566b+477,
568,忙,mang2,busy,339a+568b,
569,忘,wang4,forget,568b+161,
570a,?,wane,,568b+61,
570,望,wang4,gaze,570a+60a,
571,雨,yu3,rain,,
572,雪,xue3,snow,571+267a,
573a,?,,hairs,,
573,参,can1,consult,34a+47+573a,
574a,景,jing3,view,6+239b,
574,影,ying3,shadow,574a+573a,
575a,匃,,beggar,23a+12+568a,
575b,曷,,a drink,6+575a,
575,喝,he1,to drink,5+575b,
576,渴,ke3,thirsty,78a+575b,
577a,?,,cut,334+568a,
577,继,ji4,continue,233a+577a,
578,世,shi4,world,,
579a,?,,grain stalks,,
579,介,jie4,between,19b+579a,
580,界,jie4,boundary,156a+579,
581a,亦,yi4,as well,,
581,变,bian4,transform,581a+52,
582a,夭,die,young,89a+47,
582,笑,xiao4,smile,321a+582a,
583a,乔,qiao2,tall,582a+579a,
583,桥,qiao2,bridge,10a+583a,
584a,歹,dai3,evil,1+69a,
584b,列,lie4,line up,584a+74a,
584,例,li4,example,13a+584b,
585,死,si3,die,584a+206a,
586a,?,,gimlet,72+384,
586,解,jie3,untie,418+586a,
587a,?,,hay,51a+267a,
587,急,ji2,urgent,587a+161,
588a,彦,yan4,a good man,197+573a,
588,颜,yan2,complexion,588a+477,
589,许,xu3,to permit,67c+125,
590,需,xu1,need,571+151,
591,须,xu1,have to,573a+477,
592,续,xu4,carry on,233a+248,
593a,令,ling4,command,59a+560a,
